StartDate,EndDate,Status,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,BFIS_1,BFIS_2,BFIS_3,BFIS_4,BFIS_5,BFIS_HP45,BFIS_6,BFIS_7,BFIS_8,BFIS_9,BFIS_10,BFIS_HP46,BFIS_11,BFIS_12,BFIS_13,BFIS_14,BFIS_15,BFIS_HP47,BFIS_16,BFIS_17,BFIS_18,BFIS_19,BFIS_20,BFIS_HP48,BFIS_21,BFIS_22,BFIS_23,BFIS_24,BFIS_25,ATT_CHECK_4,BFIS_HP49,BFIS_26,BFIS_27,BFIS_28,BFIS_29,BFIS_30,BFIS_HP50,BFIS_31,BFIS_32,BFIS_33,BFIS_34,BFIS_35,BFIS_HP51,BFIS_36,BFIS_37,BFIS_38,BFIS_39,BFIS_40,BFIS_HP52,BFIS_41,BFIS_42,BFIS_43,BFIS_44,BFIS_45,BFIS_46,BFIS_47,BFIS_48,BFIS_49,BFIS_50,BFIS_51,BFIS_52,BFIS_53,BFIS_54,BFIS_55,BFIS_56,BFIS_57,BFIS_58,BFIS_59,BFIS_60,SAddItem_1,SAddItem_2,SAddItem_3,SAddItem_4,SAddItem_5,SAddItem_6,SAddItem_7,SAddItem_8,SAddItem_9,SAddItem_10,SBI_1,SBI_2,SBI_3,SBI_4,SBI_5,SBI_6,SBI_7,SBI_8,SBI_9,SBI_10,SBI_11,SBI_12,SBI_13,SBI_14,SBI_15,SBI_16,SBI_17,SBI_18,SBI_19,SBI_20,SBI_21,SBI_22,SBI_23,SBI_24,SBI_25,SBI_26,SBI_27,SBI_28,SBI_29,SBI_30,ATT_CHECK_2,SBI_31,SBI_32,SBI_33,SBI_34,SBI_35,SBI_36,SBI_37,SBI_38,SBI_39,SBI_40,SBI_41,SBI_42,SBI_43,SBI_44,SBI_45,SBI_46,SUBJ_SES,ID
3/13/17 15:11,3/13/17 15:19,0,100,442,1,3/13/17 15:19,R_3iEAaqDnuuDnYWt,,,,,anonymous,EN,5,5,4,3,5,3,5,5,4,3,4,4,3,4,5,4,5,2,3,1,4,4,2,3,5,3,4,4,1,4,1,2,5,4,4,1,5,4,5,2,5,4,4,3,3,5,3,4,2,4,3,5,5,4,5,2,4,4,5,1,5,5,3,3,4,3,5,4,5,4,5,2,4,3,3,4,5,5,5,6,4,6,3,6,3,3,6,2,6,4,4,4,6,6,4,6,3,6,4,6,1,6,2,6,6,6,4,3,2,2,3,1,5,5,2,1,6,2,5,1,1,2,5,2,6,4,7,876
3/13/17 20:07,3/13/17 20:16,0,100,542,1,3/13/17 20:16,R_1rkbZmeX8zZnYay,,,,,anonymous,EN,2,3,4,3,4,2,3,5,4,2,3,2,3,2,4,4,4,1,5,2,3,4,3,1,4,2,5,2,3,4,1,4,3,4,2,2,5,5,5,2,4,3,4,2,3,4,4,4,4,2,4,5,2,2,2,2,1,2,4,3,4,4,5,3,2,2,4,2,4,4,4,2,4,2,4,3,3,4,5,1,5,5,2,5,3,2,4,4,4,2,3,3,6,3,5,4,1,1,1,4,1,5,4,3,2,1,1,3,1,2,4,4,2,4,1,5,5,1,4,2,4,1,1,3,5,1,6,7196
3/14/17 11:15,3/14/17 11:28,0,100,812,1,3/14/17 11:28,R_2TWNeEPGrf0TlnR,,,,,anonymous,EN,5,5,2,2,1,1,2,5,3,5,5,3,1,3,4,5,4,2,4,1,4,4,5,3,4,4,4,4,1,4,1,1,5,2,1,1,4,4,5,4,4,5,5,2,1,5,5,4,5,5,2,4,2,2,4,1,2,2,1,3,5,4,5,1,5,5,3,5,4,4,3,1,2,2,3,4,4,4,4,3,2,5,2,3,4,2,4,4,4,2,2,3,2,4,3,3,2,2,3,4,2,2,2,4,3,3,3,3,2,2,2,3,3,2,3,4,4,2,3,3,3,2,2,4,4,3,9,5052
3/14/17 12:40,3/14/17 12:51,0,100,644,1,3/14/17 12:51,R_1NEMp5y1tkb0vPq,,,,,anonymous,EN,4,5,5,2,5,4,4,5,5,2,4,4,4,4,4,4,4,3,4,5,2,5,5,2,4,2,4,2,1,4,1,2,3,3,2,2,5,4,4,2,5,5,5,2,3,4,5,4,3,2,4,5,2,1,5,5,2,1,1,3,4,3,5,1,5,4,4,4,4,3,3,2,3,2,2,2,3,4,4,2,5,6,1,5,3,2,5,3,4,3,3,3,5,3,3,5,1,2,3,5,2,4,2,4,5,3,3,4,1,2,3,1,2,3,4,2,3,3,5,2,2,3,2,2,3,4,5,8677
3/15/17 11:01,3/15/17 11:14,0,100,789,1,3/15/17 11:14,R_R84xL1sQEllXQnn,,,,,anonymous,EN,5,5,5,3,1,4,4,5,3,3,5,4,1,4,4,3,5,2,2,2,3,3,2,2,4,2,2,3,3,4,1,2,5,3,3,1,2,4,5,2,4,4,4,2,1,4,3,3,2,5,3,4,4,1,4,3,4,2,4,2,5,4,2,4,4,3,4,3,5,3,4,2,4,5,4,4,4,4,4,1,3,4,3,3,3,2,3,3,3,2,3,3,4,3,3,3,3,2,2,4,2,3,3,3,2,3,2,2,2,2,4,2,2,2,3,3,3,3,4,2,3,2,2,2,3,3,9,8621
3/15/17 21:59,3/15/17 22:10,0,100,650,1,3/15/17 22:10,R_2tsScokqegmeInC,,,,,anonymous,EN,4,4,4,1,2,2,4,3,4,1,3,4,4,4,2,4,3,3,2,2,2,4,4,2,3,4,4,2,3,4,2,3,2,4,2,2,2,3,4,3,5,4,3,3,4,2,4,3,2,2,4,4,2,3,4,3,2,2,4,3,4,3,4,4,3,2,4,4,3,2,4,3,4,3,3,4,4,4,4,2,4,4,3,3,2,3,4,3,3,3,3,4,5,2,4,3,2,2,2,4,3,3,2,4,3,3,3,2,2,2,3,3,3,3,2,3,5,3,3,3,3,2,2,3,3,4,8,4998
3/16/17 3:20,3/16/17 3:31,0,100,692,1,3/16/17 3:31,R_vqcH00M3fNRiAk9,,,,,anonymous,EN,4,2,4,4,4,5,5,5,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,5,5,4,1,4,1,2,2,4,5,1,5,2,4,2,2,2,2,1,4,4,4,5,4,5,5,5,4,2,5,5,1,1,5,1,5,5,1,2,4,2,5,2,4,2,5,2,5,4,4,4,5,4,5,3,1,6,5,4,2,4,6,2,5,3,3,1,6,4,1,4,3,2,1,6,2,6,1,2,2,6,1,5,2,2,4,1,5,5,4,2,2,5,4,2,2,3,5,1,4,2,6,5335
3/16/17 19:59,3/16/17 20:13,0,100,834,1,3/16/17 20:13,R_3Mb4pmaovQsZwWH,,,,,anonymous,EN,5,2,4,4,5,3,4,4,5,4,4,4,2,2,4,2,4,1,2,4,2,4,1,1,4,3,5,5,4,4,1,1,3,4,4,4,5,1,3,1,2,1,2,2,4,3,1,3,2,4,5,4,4,2,3,4,4,4,5,3,4,4,1,3,4,2,5,2,3,4,4,4,4,3,4,5,4,4,4,2,3,2,3,3,4,4,4,3,3,2,2,3,6,1,4,2,2,2,2,4,3,3,2,2,2,3,3,2,2,2,3,2,2,3,3,3,3,3,4,2,3,2,1,4,3,2,9,5266
3/16/17 21:39,3/16/17 21:51,0,100,702,1,3/16/17 21:51,R_2YxPqnK3Ap6sliT,,,,,anonymous,EN,2,5,4,2,2,2,1,5,4,1,5,2,4,1,4,4,3,2,5,1,4,4,4,1,1,1,5,2,4,4,1,1,5,4,2,5,4,5,4,3,5,4,4,2,3,2,5,2,3,2,4,4,4,4,2,2,1,2,2,5,4,4,5,2,1,4,4,3,2,1,5,2,4,2,3,3,5,4,4,2,5,5,2,4,4,2,3,5,4,2,5,4,6,2,5,5,1,1,4,4,2,3,5,4,2,2,4,4,2,2,4,4,3,2,2,5,4,2,3,5,4,2,1,4,4,3,5,301
3/16/17 23:36,3/16/17 23:47,0,100,663,1,3/16/17 23:47,R_b7RUEUQTti5KWRP,,,,,anonymous,EN,5,4,1,5,3,4,5,5,4,5,5,4,1,3,3,2,4,3,2,2,2,4,4,2,5,3,4,4,2,4,1,2,5,5,3,3,3,4,3,1,4,5,2,1,2,4,4,5,2,5,5,3,4,1,4,4,3,2,2,1,4,4,4,1,5,5,4,3,5,4,4,3,4,4,3,4,5,5,5,2,3,6,1,4,4,3,5,5,5,3,3,3,6,3,3,6,2,2,3,6,3,4,4,4,3,3,5,4,3,2,6,2,4,3,3,4,5,2,5,3,5,2,2,2,4,3,7,2471
